entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time
117860.25,116767.67,-81.8529224689005,SL,long,-0.9270131363203472,2025-07-18 12:00:00,2025-07-21 16:00:00
116767.67,119154.99,179.35313133232052,TP,long,2.0445042707454957,2025-07-21 16:00:00,2025-07-22 08:00:00
118567.39,115419.66,-236.22427069570358,SL,long,-2.654802471404655,2025-07-23 12:00:00,2025-07-25 00:00:00
118960.0,118174.9,-57.63278794542235,SL,long,-0.659969737726972,2025-07-27 16:00:00,2025-07-28 12:00:00
118174.9,117400.01,-56.996662062570884,SL,long,-0.6557145383664378,2025-07-28 12:00:00,2025-07-29 12:00:00
117400.01,116785.79,-45.26811682805569,SL,long,-0.5231856453845286,2025-07-29 12:00:00,2025-07-31 16:00:00
114826.0,112934.0,142.04438407904468,TP,short,1.6477104488530472,2025-08-04 12:00:00,2025-08-05 12:00:00
115413.87,116519.53,-83.53860909360367,SL,short,-0.9579957764175168,2025-08-06 12:00:00,2025-08-07 08:00:00
116207.69,118500.0,170.85982272013226,TP,long,1.9725975105434053,2025-08-08 12:00:00,2025-08-10 00:00:00
118257.25,117275.22,-72.9212731616173,SL,long,-0.8304184310052861,2025-08-14 12:00:00,2025-08-15 12:00:00
116370.75,115568.77,-60.16516033706965,Trend Change,long,-0.6891594322456424,2025-08-22 12:00:00,2025-08-23 00:00:00
114812.87,111511.55,249.8171599855823,TP,short,2.875391931235577,2025-08-23 12:00:00,2025-08-25 04:00:00
112678.53,110019.38,209.16135158703855,TP,short,2.3599438153834575,2025-08-28 12:00:00,2025-08-29 04:00:00
110322.18,111240.01,-74.95402332421078,SL,short,-0.8319541908979698,2025-09-02 00:00:00,2025-09-02 20:00:00
110716.82,111614.54,-72.62501713773777,SL,short,-0.8108253109148064,2025-09-05 12:00:00,2025-09-05 16:00:00
110659.99,112052.43,-112.06573245131831,SL,short,-1.2583048308607183,2025-09-05 20:00:00,2025-09-08 08:00:00
112052.43,112631.75,-45.63961186432765,SL,short,-0.5170079756414092,2025-09-08 08:00:00,2025-09-08 12:00:00
111708.0,112991.11,-101.02985413042686,SL,short,-1.14862856733627,2025-09-09 00:00:00,2025-09-09 04:00:00
110880.76,111546.39,-52.37702063643766,SL,short,-0.6003115418761602,2025-09-09 12:00:00,2025-09-09 20:00:00
111546.39,112553.65,-78.4551281812193,SL,short,-0.9029965021727685,2025-09-09 20:00:00,2025-09-10 04:00:00
112299.99,114400.01,161.44518758260932,TP,long,1.8700090712385542,2025-09-10 08:00:00,2025-09-11 00:00:00
115070.0,116800.12,131.50539191445105,TP,long,1.5035369774919574,2025-09-15 08:00:00,2025-09-16 16:00:00
115875.32,115125.12,-57.22193219183883,SL,long,-0.6474200028099267,2025-09-17 12:00:00,2025-09-19 16:00:00
114649.89,112519.99,-163.4516489694056,SL,long,-1.8577427331155698,2025-09-22 00:00:00,2025-09-22 04:00:00
113346.41,109360.0,305.4170192965187,TP,short,3.5170147867938684,2025-09-24 12:00:00,2025-09-25 16:00:00
112163.95,113815.57,-131.0202208147044,SL,short,-1.4725052033206836,2025-09-28 20:00:00,2025-09-29 12:00:00
113055.01,116789.58,290.892513010959,TP,long,3.303321100055634,2025-09-30 08:00:00,2025-10-01 08:00:00
121147.14,119018.98,-158.27080643767871,SL,long,-1.7566737440107985,2025-10-09 12:00:00,2025-10-10 12:00:00
